geo,siec,year,value
BA,renewables/biomass,2013,NULL
BE,renewables/biomass,2013,633.228
BG,renewables/biomass,2013,749.642
CY,renewables/biomass,2013,6.78
CZ,renewables/biomass,2013,1686.73
DE,renewables/biomass,2013,7326.144
DK,renewables/biomass,2013,857.086
EE,renewables/biomass,2013,373.651
EL,renewables/biomass,2013,774.792
ES,renewables/biomass,2013,2494.387
FI,renewables/biomass,2013,1251.433
FR,renewables/biomass,2013,7474.073
GE,renewables/biomass,2013,472.891
HR,renewables/biomass,2013,1146.532
HU,renewables/biomass,2013,2036.472
IE,renewables/biomass,2013,28.255
IS,renewables/biomass,2013,0
IT,renewables/biomass,2013,6591.502
LT,renewables/biomass,2013,539.672
LU,renewables/biomass,2013,19.072
LV,renewables/biomass,2013,575.738
MD,renewables/biomass,2013,567.713
ME,renewables/biomass,2013,155.274
MK,renewables/biomass,2013,213.098
MT,renewables/biomass,2013,0.86
NL,renewables/biomass,2013,399.877
NO,renewables/biomass,2013,482.636
PL,renewables/biomass,2013,2790.914
PT,renewables/biomass,2013,763.543
RO,renewables/biomass,2013,3109.033
RS,renewables/biomass,2013,800.994
SE,renewables/biomass,2013,968.783
SI,renewables/biomass,2013,552.785
SK,renewables/biomass,2013,733.735
TR,renewables/biomass,2013,3281.456
XK,renewables/biomass,2013,228.814
AL,"solar thermal",2013,5.374
AT,"solar thermal",2013,119.221
BA,"solar thermal",2013,NULL
BE,"solar thermal",2013,17.455
BG,"solar thermal",2013,8.957
CY,"solar thermal",2013,55.842
CZ,"solar thermal",2013,10.812
DE,"solar thermal",2013,548.414
DK,"solar thermal",2013,11.198
EE,"solar thermal",2013,0
EL,"solar thermal",2013,236.434
ES,"solar thermal",2013,171.369
FI,"solar thermal",2013,1.242
FR,"solar thermal",2013,133.486
GE,"solar thermal",2013,0.549
HR,"solar thermal",2013,5.78
HU,"solar thermal",2013,8.598
IE,"solar thermal",2013,9.936
IS,"solar thermal",2013,0
IT,"solar thermal",2013,124.439
