freq,nrg_bal,siec,unit,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FC_OTH_HH_E,E7000,KTOE,EE,160.361,149.527,148.581,164.488,166.81,159.931,177.988,171.797,191.66,169.121,186.004,201.634
A,FC_OTH_HH_E,E7000,KTOE,EL,1500.086,1474.721,1507.997,1719.433,1687.691,1441.325,1494.199,1503.543,1523.556,1425.755,1300.883,1482.674
A,FC_OTH_HH_E,E7000,KTOE,ES,6110.06,6079.966,6024.85,5988.65,6138.693,6449.355,6275.236,6296.131,6289.682,6273.345,6289.905,6462.428
A,FC_OTH_HH_E,E7000,KTOE,EU27_2020,61502.998,58568.063,59439.068,60450.651,60851.719,60613.044,60429.75,61244.839,63585.938,60779.311,59863.494,61265.039
A,FC_OTH_HH_E,E7000,KTOE,FI,1849.527,1828.375,1798.624,1936.199,1935.684,1954.514,1938.607,1895.099,2086.071,1945.486,1885.211,1894.669
A,FC_OTH_HH_E,E7000,KTOE,FR,14456.511,12967.755,13525.513,14024.428,13854.075,13777.804,13733.627,13886.374,14575.679,13344.612,12960.987,12978.485
A,FC_OTH_HH_E,E7000,KTOE,GE,193.809,211.952,211.694,208.34,211.599,213.586,211.608,220.55,227.085,230.61,236.543,254.428
A,FC_OTH_HH_E,E7000,KTOE,HR,536.285,518.745,533.276,526.913,538.753,533.25,533.611,522.519,567.016,555.83,552.115,586.244
A,FC_OTH_HH_E,E7000,KTOE,HU,909.716,896.217,931.986,941.874,967.24,977.644,998.968,1055.46,1072.657,1061.737,1077.558,1107.137
A,FC_OTH_HH_E,E7000,KTOE,IE,683.383,662.407,677.623,676.934,683.822,701.938,696.991,746.591,751.653,705.707,696.799,719.776
A,FC_OTH_HH_E,E7000,KTOE,IS,71.969,72.306,70.699,72.099,69.707,72.9,71.059,74.788,75.752,74.235,74.517,85.189
A,FC_OTH_HH_E,E7000,KTOE,IT,5759.501,5524.936,5691.058,5529.149,5631.186,5600.842,5639.553,5693.177,5771.254,5558.042,5452.535,5659.687
